platform,title,author,genre,rating,purchase_count,total_amount_krw,first_date,last_date
네이버 시리즈,필드의 고인물,이블라인,현판,9.9,11,300,2022-04-12,2022-04-12
카카오페이지,당신의 머리 위에,박건,판타지,1.0,3,300,2020-03-10,2020-03-11
카카오페이지,낭선기환담,낭선,무협,2.0,3,300,2021-04-27,2021-04-27
네이버 시리즈,눈물을 마시는 새,이영도,판타지,10.0,3,300,2026-01-17,2026-01-18
카카오페이지,네크로맨서 학교의 소환천재,일제사격,판타지,2.2,2,200,2020-09-30,2020-09-30
네이버 시리즈,신화시대의 괴물사냥꾼,병장개미,판타지,9.8,38,200,2025-09-29,2025-10-04
네이버 시리즈,전지적 독자 시점,싱숑,현판,9.9,11,200,2021-07-13,2021-07-18
문피아,빙의한 악역이 너무 강함,미생A,"퓨전, 판타지",,2,200,2019-08-06,2019-08-06
네이버 시리즈,강철의 용병,병장개미,판타지,9.8,1,100,2022-11-02,2022-11-02
카카오페이지,뽑기로 강해진 10성급 플레이어,삼편잡가,판타지,7.0,1,100,2020-10-14,2020-10-14
카카오페이지,마법명가 막내아들,비츄,판타지,2.0,1,100,2019-10-20,2019-10-20
카카오페이지,게임 속 성기사로 살아가기,라쿤아재,판타지,9.5,1,100,2021-04-18,2021-04-18
문피아,쥐뿔도 없는 회귀,목마,퓨전,,1,100,2018-10-14,2018-10-14
문피아,천마는 조용히 살고싶다,김강현,무협,,1,100,2021-06-11,2021-06-11
문피아,탑신병자 프로게이머 되다.,러데,"게임, 스포츠",,10,100,2019-08-19,2019-09-29
문피아,회귀해서 게임한다,박동수,"게임, 현대판타지",,1,100,2018-11-04,2018-11-04
카카오페이지,회귀자도 못 깬 탑 등반합니다,눈도끼,판타지,2.0,1,100,2022-04-16,2022-04-16
네이버 시리즈,용사 파티의 마법사로 산다는 것,졸린작가,판타지,9.4,3,100,2023-11-04,2023-11-04
네이버 시리즈,칼든 자들의 도시,장영훈,현판,9.9,1,100,2022-08-05,2022-08-05
네이버 시리즈,천재 흑마법사,노란커피,판타지,9.9,5,100,2021-10-22,2021-10-22
네이버 시리즈,게임 속 대현자가 되었다,글밈,판타지,8.0,8,100,2021-12-23,2021-12-23
네이버 시리즈,무한 레벨업 in 무림,곤붕,무협,8.0,7,100,2022-01-08,2022-01-08
네이버 시리즈,은둔형 마법사,후로스트,판타지,9.6,1,100,2023-10-16,2023-10-16
네이버 시리즈,천재 흑마법사의 종말방송,대격크,판타지,9.8,5,100,2024-10-01,2024-10-01
카카오페이지,백룡선생,시니어,무협,1.0,1,100,2022-08-14,2022-08-14
카카오페이지,이탄,쥬논,판타지,2.0,1,100,2020-03-05,2020-03-05
네이버 시리즈,천재 플레이어의 귀환,24시수면중,판타지,8.8,4,0,2024-01-25,2024-01-25
네이버 시리즈,죄수부대 블랙 퍼레이드,류은가람,현판,9.6,12,0,2025-06-30,2025-06-30
네이버 시리즈,서울역 드루이드,진설우,현판,8.6,2,0,2021-07-10,2021-07-10
네이버 시리즈,신의 마력을 가졌다,오늘오후에,판타지,9.3,4,0,2023-12-07,2023-12-07
네이버 시리즈,괴물 천재선수들이 날 너무 좋아함,혜인태,현판,9.4,4,0,2024-02-28,2024-02-28
네이버 시리즈,귀검무영,미리혼,무협,9.1,6,0,2022-07-09,2022-07-09
네이버 시리즈,은퇴한 헌터의 아포칼립스,디다트,현판,9.3,4,0,2024-04-08,2024-04-08
네이버 시리즈,일홀도,설봉,무협,8.6,3,0,2022-02-12,2024-05-23
문피아,로또 1등도 출근합니다,서인하,현대판타지,,5,0,2019-12-09,2019-12-09
문피아,전지적 관중 시점,박경원,"스포츠, 현대판타지",,5,0,2018-12-17,2018-12-17
문피아,이계 내가 가 봤는데 별거 없더라,현철(鉉哲),"퓨전, 판타지",,1,0,2019-09-08,2019-09-08
카카오페이지,환생한 기갑기신 파일럿이 살아가는 법,,,,10,0,2020-08-08,2020-08-12
